Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.8.4.4-10.140.79.163-853-31578-6,10.140.79.163,31578,8.8.4.4,853,6,06/05/2023 07:05,10721778,36,1,3037,0,293,0,84.36111111,104.370262,0,0,0,0,283.2552586,3.450920174,297827.1667,588382.5405,2560920,4,1.07E+07,305465.6,595158.7764,2560920,4,0,0,0,0,0,0,0,0,0,1152,40,3.357652061,0.093268113,0,293,79.92105263,103.2897739,10668.77738,0,1,0,0,0,0,0,0,0,82.08108108,84.36111111,0,0,0,0,0,0,0,36,3037,1,0,-1,65228,17,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-3946-6,10.140.79.163,3946,8.8.8.8,853,6,06/05/2023 07:05,24329842,82,1,9373,0,408,0,114.304878,130.5307957,0,0,0,0,385.2470559,3.411448377,296705.3902,1076291.212,6750514,3,2.43E+07,299895.0247,1082607.099,6750514,3,0,0,0,0,0,0,0,0,0,2624,40,3.370346589,0.041101788,0,408,111.5833333,130.1347965,16935.06526,0,1,0,0,0,0,0,0,0,112.9277108,114.304878,0,0,0,0,0,0,0,82,9373,1,0,-1,65228,41,0,4873138,6385290.2,9388220,358056,6142792.5,859447.9874,6750514,5535071,1
8.8.8.8-10.140.79.163-853-13176-6,10.140.79.163,13176,8.8.8.8,853,6,06/05/2023 07:05,19115359,72,1,7797,0,408,0,108.2916667,138.1615137,0,0,0,0,407.8918947,3.818918598,265491.0972,508690.2955,2748658,5,1.91E+07,268693.507,511579.4483,2748658,5,0,0,0,0,0,0,0,0,0,2304,40,3.766604645,0.052313953,0,408,105.3648649,137.3980892,18878.23491,0,1,0,0,0,0,0,0,0,106.8082192,108.2916667,0,0,0,0,0,0,0,72,7797,1,0,-1,65228,34,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-35085-6,10.140.79.163,35085,8.8.8.8,853,6,06/05/2023 07:05,151508,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,3623.571033,72.60342688,15150.8,19914.64362,47525,6,123600,13733.33333,20580.65905,47525,6,0,0,0,0,0,0,0,0,0,320,40,66.00311535,6.600311535,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-39237-6,10.140.79.163,39237,8.8.8.8,853,6,06/05/2023 07:05,943894,20,1,1949,0,408,0,97.45,135.8728024,0,0,0,0,2064.850502,22.24826093,47194.7,77394.98827,257018,6,921509,48500.47368,79289.12736,257018,6,0,0,0,0,0,0,0,0,0,640,40,21.18881993,1.059440997,0,408,88.59090909,132.383519,17525.3961,0,1,0,0,0,0,0,0,0,92.80952381,97.45,0,0,0,0,0,0,0,20,1949,1,0,-1,65228,9,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-44338-6,10.140.79.163,44338,8.8.8.8,853,6,06/05/2023 07:05,2763496,41,1,4341,0,408,0,105.8780488,141.1488922,0,0,0,0,1570.836361,15.19814033,67402.34146,171052.8976,1087716,4,2740949,68523.725,173079.3096,1087716,4,0,0,0,0,0,0,0,0,0,1312,40,14.83627984,0.361860484,0,408,100.9534884,139.5825329,19483.2835,0,1,0,0,0,0,0,0,0,103.3571429,105.8780488,0,0,0,0,0,0,0,41,4341,1,0,-1,65228,18,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-38661-6,10.140.79.163,38661,8.8.8.8,853,6,06/05/2023 07:05,480510,12,1,701,0,293,0,58.41666667,94.42790259,0,0,0,0,1458.866621,27.05458783,40042.5,65875.37921,222614,3,451696,41063.27273,68991.07224,222614,3,0,0,0,0,0,0,0,0,0,384,40,24.97346569,2.081122141,0,293,50.07142857,89.41387286,7994.840659,0,1,0,0,0,0,0,0,0,53.92307692,58.41666667,0,0,0,0,0,0,0,12,701,1,0,-1,65228,5,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-26887-6,10.140.79.163,26887,8.8.8.8,853,6,06/05/2023 07:04,73519485,50,1,5613,0,408,0,112.26,144.8899385,0,0,0,0,76.34710716,0.693693651,1470389.7,3965884.18,2.01E+07,5,7.35E+07,1499347.673,4001638.068,2.01E+07,5,0,0,0,0,0,0,0,0,0,1600,40,0.680091815,0.013601836,0,408,107.9423077,143.683805,20645.03582,0,1,0,0,0,0,0,0,0,110.0588235,112.26,0,0,0,0,0,0,0,50,5613,1,0,-1,65228,23,0,3541057.25,6055610.049,1.26E+07,106685,1.28E+07,7753497.7,2.01E+07,5261666,1
8.8.8.8-10.140.79.163-853-18125-6,10.140.79.163,18125,8.8.8.8,853,6,06/05/2023 07:05,202949,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,2705.113107,54.20080907,20294.9,33489.79919,104702,5,175629,19514.33333,35424.68112,104702,5,0,0,0,0,0,0,0,0,0,320,40,49.27346279,4.927346279,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-51353-6,10.140.79.163,51353,8.8.8.8,853,6,06/05/2023 07:05,2782820,50,1,5461,0,408,0,109.22,140.9650832,0,0,0,0,1962.397855,18.32673331,55656.4,86798.06935,548934,4,2759734,56321.10204,87568.8844,548934,4,0,0,0,0,0,0,0,0,0,1600,40,17.9673856,0.359347712,0,408,105.0192308,139.7916503,19541.70551,0,1,0,0,0,0,0,0,0,107.0784314,109.22,0,0,0,0,0,0,0,50,5461,1,0,-1,65228,22,0,0,0,0,0,0,0,0,0,1
