Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.8.8.8-10.62.242.161-853-52875-6,10.62.242.161,52875,8.8.8.8,853,6,06/05/2023 19:51,116487,9,1,549,0,293,0,61,101.5135459,0,0,0,0,4712.972263,85.84648931,12943,15932.4955,36146,3,91705,11463.125,16357.9301,36146,3,0,0,0,0,0,0,0,0,0,288,40,77.26184038,8.584648931,0,293,49.90909091,94.08980237,8852.890909,0,1,0,0,0,0,0,0,0,54.9,61,0,0,0,0,0,0,0,9,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-25728-6,10.62.242.161,25728,8.8.4.4,853,6,06/05/2023 19:50,67548504,154,1,11797,0,304,0,76.6038961,81.42299934,0,0,0,0,174.6448744,2.294647414,438626.6494,2269030.428,2.74E+07,7,6.75E+07,441269.719,2276244.252,2.74E+07,7,0,0,0,0,0,0,0,0,0,4940,40,2.279843237,0.014804177,0,304,75.62179487,81.35666937,6618.907651,0,1,0,0,0,0,0,0,0,76.10967742,76.6038961,0,0,0,0,0,0,0,154,11797,1,0,-1,65228,76,0,2.41E+07,0,2.41E+07,2.41E+07,2.74E+07,0,2.74E+07,2.74E+07,0
8.8.4.4-10.62.242.161-853-12515-6,10.62.242.161,12515,8.8.4.4,853,6,06/05/2023 19:51,6838420,31,1,2221,0,304,0,71.64516129,92.58457337,0,0,0,0,324.7826252,4.679443497,220594.1935,534483.5676,2042395,5,6804236,226807.8667,542480.6835,2042395,5,0,0,0,0,0,0,0,0,0,992,40,4.533210888,0.146232609,0,304,67.3030303,91.31007777,8337.530303,0,1,0,0,0,0,0,0,0,69.40625,71.64516129,0,0,0,0,0,0,0,31,2221,1,0,-1,65228,14,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-40064-6,10.62.242.161,40064,8.8.4.4,853,6,06/05/2023 19:52,213279,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,2574.093089,51.57563567,21327.9,34981.4088,109491,5,183526,20391.77778,36970.29453,109491,5,0,0,0,0,0,0,0,0,0,320,40,46.88694152,4.688694152,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-26943-6,10.62.242.161,26943,8.8.4.4,853,6,06/05/2023 19:52,213282,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,2574.056882,51.57491021,21328.2,35194.86265,109493,3,189492,21054.66667,37318.51312,109493,3,0,0,0,0,0,0,0,0,0,320,40,46.88628201,4.688628201,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,0
8.8.8.8-10.62.242.161-853-19072-6,10.62.242.161,19072,8.8.8.8,853,6,06/05/2023 19:51,21687261,42,1,2981,0,293,0,70.97619048,81.75110594,0,0,0,0,137.4539643,1.982730784,516363.3571,940018.6679,3852242,4,2.17E+07,528242.9512,948499.1053,3852242,4,0,0,0,0,0,0,0,0,0,1344,40,1.936620766,0.046110018,0,293,67.75,81.21608416,6596.052326,0,1,0,0,0,0,0,0,0,69.3255814,70.97619048,0,0,0,0,0,0,0,42,2981,1,0,-1,65228,20,0,0,0,0,0,0,0,0,0,0
8.8.8.8-10.62.242.161-853-14721-6,10.62.242.161,14721,8.8.8.8,853,6,06/05/2023 19:51,21687174,86,1,6477,0,304,0,75.31395349,85.51522212,0,0,0,0,298.6557861,4.011587679,252176.4419,576635.5558,3734397,5,2.17E+07,254800.7294,579540.9187,3734397,5,0,0,0,0,0,0,0,0,0,2752,40,3.965477475,0.046110203,0,304,73.60227273,85.27703869,7272.173328,0,1,0,0,0,0,0,0,0,74.44827586,75.31395349,0,0,0,0,0,0,0,86,6477,1,0,-1,65228,41,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-18226-6,10.62.242.161,18226,8.8.4.4,853,6,06/05/2023 19:51,11257716,52,1,4197,0,304,0,80.71153846,86.90570426,0,0,0,0,372.8109681,4.707882132,216494.5385,774039.5098,4668479,3,1.12E+07,220137.2745,781291.2967,4668479,3,0,0,0,0,0,0,0,0,0,1664,40,4.619054167,0.088827965,0,304,77.72222222,86.62746453,7504.31761,0,1,0,0,0,0,0,0,0,79.18867925,80.71153846,0,0,0,0,0,0,0,52,4197,1,0,-1,65228,26,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-49842-6,10.62.242.161,49842,8.8.4.4,853,6,06/05/2023 19:52,3387234,18,1,1309,0,304,0,72.72222222,103.6009343,0,0,0,0,386.4510099,5.609296553,188179.6667,457510.0919,1722383,7,3307556,194562.1176,470763.8814,1722383,7,0,0,0,0,0,0,0,0,0,576,40,5.314070419,0.295226134,0,304,65.45,100.5204745,10104.36579,0,1,0,0,0,0,0,0,0,68.89473684,72.72222222,0,0,0,0,0,0,0,18,1309,1,0,-1,65228,8,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-60559-6,10.62.242.161,60559,8.8.4.4,853,6,06/05/2023 19:52,230598,11,1,701,0,304,0,63.72727273,118.5614532,0,0,0,0,3039.922289,52.03861265,20963.45455,35130.32961,106252,5,205789,20578.9,37006.206,106252,5,0,0,0,0,0,0,0,0,0,352,40,47.7020616,4.336551054,0,304,53.92307692,110.8455844,12286.74359,0,1,0,0,0,0,0,0,0,58.41666667,63.72727273,0,0,0,0,0,0,0,11,701,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,0
8.8.4.4-10.62.242.161-853-15997-6,10.62.242.161,15997,8.8.4.4,853,6,06/05/2023 19:52,15389469,55,1,4501,0,304,0,81.83636364,90.33922975,0,0,0,0,292.4727292,3.638851997,279808.5273,1134699.324,8164706,8,1.54E+07,284517.7407,1144811.373,8164706,8,0,0,0,0,0,0,0,0,0,1760,40,3.573872497,0.0649795,0,304,78.96491228,90.00277077,8100.498747,0,1,0,0,0,0,0,0,0,80.375,81.83636364,0,0,0,0,0,0,0,55,4501,1,0,-1,65228,28,0,3024512,0,3024512,3024512,8164706,0,8164706,8164706,0
8.8.8.8-10.62.242.161-853-50379-6,10.62.242.161,50379,8.8.8.8,853,6,06/05/2023 19:52,22784314,33,1,2373,0,293,0,71.90909091,83.39228218,0,0,0,0,104.1506012,1.492254715,690433.7576,2350917.877,1.30E+07,4,2.27E+07,709518.625,2385936.257,1.30E+07,4,0,0,0,0,0,0,0,0,0,1056,40,1.448364871,0.043889845,0,293,67.8,82.65584211,6831.988235,0,1,0,0,0,0,0,0,0,69.79411765,71.90909091,0,0,0,0,0,0,0,33,2373,1,0,-1,65228,16,0,4036646,0,4036646,4036646,1.30E+07,0,1.30E+07,1.30E+07,0
8.8.8.8-10.62.242.161-853-14275-6,10.62.242.161,14275,8.8.8.8,853,6,06/05/2023 19:51,57148920,21,1,1461,0,293,0,69.57142857,87.43830478,0,0,0,0,25.56478758,0.384959156,2721377.143,5236821.234,1.71E+07,4,5.71E+07,2856058.35,5335420.574,1.71E+07,4,0,0,0,0,0,0,0,0,0,672,40,0.367461012,0.017498143,0,293,63.52173913,85.74479553,7352.16996,0,1,0,0,0,0,0,0,0,66.40909091,69.57142857,0,0,0,0,0,0,0,21,1461,1,0,-1,65228,10,0,209778.25,233701.342,552814,53628,1.25E+07,4393904.433,1.71E+07,7515399,0
8.8.8.8-10.62.242.161-853-19841-6,10.62.242.161,19841,8.8.8.8,853,6,06/05/2023 19:52,19868894,56,1,4197,0,304,0,74.94642857,85.50202967,0,0,0,0,211.2347069,2.868805883,354801.6786,1244929.736,8575904,5,1.98E+07,359459.5273,1255911.432,8575904,5,0,0,0,0,0,0,0,0,0,1792,40,2.818475955,0.050329928,0,304,72.36206897,85.1138965,7244.375378,0,1,0,0,0,0,0,0,0,73.63157895,74.94642857,0,0,0,0,0,0,0,56,4197,1,0,-1,65228,27,0,5391881,0,5391881,5391881,8575904,0,8575904,8575904,0
